,No,Response
877,877,
878,878,
879,879,
880,880,"Je comprend pas trés bien, et surtout je vois pas le rapport entre:il y a pleins d'artisans qui font du pack A123/Panasonic/Headway sur mesure et dissociable... en petites unités.etrenault le sait très, et c'est une des raisons pour lesquelles , il ne ""fournit pas"" d'offre d'achat complet des packs de batteries.mia le fait...Si tu peux en dire plus parce que là   "
881,881,Je vient de m’apercevoir qu'on peut configurer ZOE ICI
882,882,"Oui mais non la Zoé est déjà morte, franchement qui achèterait un véhicule électrique qu'on ne peut pas recharger sur une prise standard à part quelques forcenés de l'électrique ? C'est carrément le seul véhicule du marché qu'on ne peut pas brancher ... si encore Renault s'occupait gracieusement de la pose de leur ouhaulbocse (comme canalplus le faisait pour les antennes), quand bien même ... ça prouve bien qu'ils n'ont pas envie de la vendre, ce défaut va faire fuir tous les acheteurs potentiels "
883,883,
884,884,A en croire certains la ZOE va finir comme la GM EV1 au passage une petite pub ICI
885,885,"En même temps, a essayer de vendre une voiture électrique dont il faut louer la batterie et avec laquelle n'est fournit _aucun_ système permettant de la charger, ils cherchent !!!Même en option dans le configurateur ça n'apparait pas !!!! C'est n'importe quoi, c'est dramatique !   "
886,886,"Elle aura surement son chemin de croix (Une fois capté les clients conquis) comme la prius à ses début. Mais le pétrole devenant de plus en plus chère, les voitures électrique vont prendre au fur et à mesure une petite place dans le paysage automobile. Les ventes viendront peut être des entreprises. Le vert étant à la mode."
887,887,
888,888,
889,889,
890,890,+1 pour le coupAu jour d'aujourd'hui faire peu de kilomètres avec une ZOE n'a pas d'intérêt financier.
891,891,Cela ne change pas énormément mais le premier forfait est à 12500 kilomètres (sur 36 mois et 79 euros par mois).C'est d'après le configurateur de la Zoé.
892,892,
893,893,
894,894,
895,895,
896,896,
897,897,"Disons que pour 5000 km, une twingo à 10 000 euros suffit. Soit deux fois moins chère qu'une Yaris."
898,898,
899,899,Reprise du message précédent :
900,900,"Dans ce cas, je me demande bien quel est l’intérêt de Zoé...Ha oui, il faut avoir un pavillon pour pouvoir installer une wallbox, faire un trajet quotidien de mini 2x25km (considérant 230 jours et forfait 12500km) mais pas plus de 100km/jour, et bien sur un autre véhicule pour les trajets plus long, avec comme contraintes : de ne pas posséder une auto entière, avoir le même prix au kilomètre qu'une autre voiture, ne surtout pas oublier de la brancher le soir (et si une nuit coupure de jus, pas la peine espérer aller bosser le lendemain), ne pas avoir le droit de temps en temps de prendre la liberté d'un petit détour pour une raison ou une autre sous peine de ne pas pouvoir rentrer chez soit, se prendre la tête avec un contrat de location complexe, une obligation de garantie tout risque, etc etc..Pour la Yaris vs Twingo ou autre pot de yaourt, c'est vrai. Mais on peut aussi rouler peu mais de temps en temps faire des trajets conséquent...Quand a consommer moins et polluer moins avec une twingo essence en ville, je demande a voir.ps : je le répète, mes critiques sont à la hauteur de la déception..."
901,901,
902,902,
903,903,"Oui, mais elle peut les faire sans soucis.Pour le 'zéro' pollution, 1/ ce n'est pas vrai, et 2/ c'est bien ce que je dis, il faut la foi.=> la catastrophe industrielle n'est pas loin."
904,904,
905,905,
906,906,
907,907,
908,908,A-t-on confirmation (sérieuse) que les bornes domestiques 32A monophasée seront acceptées sur la Zoé ?
909,909,"Je ne trouve pas le tableau aussi noir que ça mais les deux points suivants sont chagrinants :- pas plus d'option de kilométrage annuel vers le bas (rien qu'un palier à 8000 ça serait bien sympa)- obligation d'une wallboxAujourd'hui je roule en C-zero en rechargeant la nuit en charge lente 10A, ça me convient parfaitement. Je me contrefous des chargeurs rapides.J'utilise pour ça le câble de recharge livré avec la voiture, il est long, je l'ai fixé proprement sur une bonne prise sur fils 2,5mm et voilà, j'ai ma station de recharge à domicile. Je n'ai que faire d'un boitier au mur qui va me couter 1000 boules de plus."
910,910,
911,911,
912,912,Dans son marketing Renault dit que la Zoé couvre 80% des utilisations ... mais sans le chargement sur une prise classique 10A ça doit revenir à 5%  Après on va nous expliquer qu'il faut fermer les usines en France ...
913,913,"En tout cas ont étaient très intéressés par la Zoé depuis son annonce.Il faut dire que comparé à la Leaf (chère et très laide) ou une Ampera (4 places et chère), elle avait pas mal d'avantages.Mais les retards à répétitions, la location de batterie qui coûte chère et qui limite le kilomètrage, le flou de l'entretien, le flou de l'autonomie et les multiples critiques, on a finalement été voir la concurrence.Yaris HSD fabriquée en France, sur-équipée comparée à la Zoé, pas de soucis d'autonomie, pas de location à payer tous les mois ... et seulement 4.1L/100 (sachant qu'elle est neuve et qu'il fait froid en ce moment).Je pense que Renault peut avoir du soucis à se faire, la Zoé n'est même pas encore sortie que c'est un flop   "
914,914,
915,915,
916,916,"Zoe est la première petit voiture crédible en électrique. Son problème être la première, et maintenant d'être en retard. Maintenant même Renault sait que le chemin sera long avant d'avoir un début de changement d'habitude des acheteurs. Mais il faut lancer la machine. C'est toujours le problème de la poule et de l'oeuf."
917,917,
918,918,
919,919,
920,920,
921,921,"L'avantage de la Yaris c'est que c'est la solution la plus propre et économique possible de transition intelligente vers l'électrique.Et pour le gars qui fait moins de 12500km/an, la différence du prix au kilomètre explose en faveur de la Yaris... ce qui a mes yeux est complétement surréaliste !!"
922,922,
923,923,
924,924,
925,925,
926,926,
927,927,
928,928,
929,929,
930,930,
931,931,
932,932,Le prix d'achat est effectivement un écueil.
933,933,
934,934,
935,935,Reprise du message précédent :
936,936,
937,937,
938,938,
939,939,
940,940,"Huhuhu...J'ose espérer que l’électronique embarqué est capable de surveiller l'état des batterie, sinon on va voir les quelques Zoé qui seront vendues bruler rapidement au 4 coins de la France.Non, ils se foutent de la gueule des gens, profitent de leur ignorance, joue sur le coté ""technologie de pointe"", et vont vendre les filtres habitacle et des entretiens de clim a prix d'or..."
941,941,
942,942,
943,943,
944,944,
945,945,
946,946,Cela se remarque.http://news.autoplus.fr/news/1 [...] Innovation
947,947,
948,948,"Je n'entrerai pas dans des débats de type café du commerce.Quoi que tu en penses, il y a du matériel spécifique, du personnel avec une formation spécifique, des procédures spécifiques (haute tension), des pièces spécifiques...Et oui, si tu veux, il faut nourrir les concessionnaires, à moins que tu n'acceptes de faire du bénévolat à tes heures perdues."
949,949,"Citation :Dans le cadre de la C-Zero et iOn, il y a plusieurs contrôles à effectuer lors des entretiens.-Mise hors tension du véhicule (procédure assez longue, c'est une mise en sécurité du véhicule afin qu'un être humain puisse travailler dessus sans aucun risque vital pour lui)-Contrôle des câbles électriques de puissance : contrôle visuel + contrôle du serrage des câbles électrique de puissance sur le calculateur de contrôle machine électrique-Contrôle isolement des organes haute puissance : 330V + éléments fonctionnant sous les 330V + compresseur de réfrigération + chauffage habitacle électrique + batterie de traction + chargeur embarqué + moteur électrique + calculateur de batterie de traction-vérification du niveau d'huile du Réducteur ce que certains appelent 'Vidange'-Mise sous tension (procédure de remise en tension en rebranchant les sécurité, etc...)Il faut également vérifier les systémes de refroidissement qui sont au nombre de 2 :-refroidissement par eau pour la machine électrique de traction, le calculateur de contrôle de la machine électrique (ondulateur) et le chargeur /convertisseur de tension continue (DC/DC)-refroidissement par air pour la batterie de traction.Donc tout cela prend du temps et donc a un prix, et comme c'est un véhicule électrique, il y a des consignes très strictes à appliquer liées à la Haute Tension. Donc cela prend du temps.On a souvent tendance à croire qu'il n'y a qu'un moteur électrique et une batterie, mais c'est un peu plus compliqué que celaPetit exemple PSA pour illustrer la problématique."
950,950,"Des pièces ? pour la réparation, oui, pour l'entretien, non. Du matériel ? bof, pas sur du tout ou pas grand chose...Une formation du personnel, oui, comme pour chaque nouveau modèle.Concernant l’électricité, désolé, mais il faut m'expliquer comment fait Toyota pour maintenir un prix plus que correct pour l'entretient de ses hybrides (le même prix que la thermique équivalente !) alors qu'il y a en plus de la partie électrique (avec batterie, électronique, moteur, cable HT qui traverse toute la voiture, etc), un thermique a entretenir !!!!!!!!!!!!!!!!!!!!!!!La partie électrique d'une hybride Toyota est tout a fait comparable a la partie électrique d'une Zoé : batterie, électronique, moteur). La seule grosse différence est une batterie plus grosse capable de cracher un peu plus de puissance... Mais se prendre une chataigne avec 27kW (toyota) ou avec 64kw (Zoé), le résultat sera a peu pres le même (couic) et les précautions a prendre, les outils, etc sont exactement les mêmes !!!Regarde ce que fait un mécano lors des entretients intermédiaire sur une voiture (a 15, 20 ou 30000 km) et imagine ce qu'il fera sur une Zoé.Regarde ce que fais un mécano de Toyota quand il entretient une hybride sur la partie electrique : rien, nada, juste contrôler le niveau de liquide de refroidissement (10 secondes) et lire le résultat de la ""valise"" ce qu'il fait de toute façon pour n'importe quelle voiture... Par contre, il va aussi faire une vidange du moteur, filtres, bougies, injection, etc.. bref, l'entretient normal d'un moteur thermique...Bref tout ca pour dire que cout de l'entretien d'une Zoé devrait être 50% du cout d’entretien d'une Twingo essence.Peut être que je me trompe, mais je veux des arguments recevables !Faut arrêter de prendre les clients pour des gogos.""Café du commerce"", l'argument imparable pour refuser la réflexion."
